"#","Country","ISO","Name","SEZ Present","SEZ Name","SEZ VAT Treatment","SEZ CIT Rate","Local Licensing Fee","Land Ownership Rules"
"128","Morocco","MA","Marrakech-Safi","No","No IAZ or free zone in Marrakech-Safi as of 2024. Standard CRI investment regime. Source: WTO Trade Policy Review Morocco 2024","NA","N/A. Standard CIT applies. Source: PwC Morocco 2025","Taxe professionnelle 10–30% of assessed rental value. Marrakech tourism-inflated rental values; fees elevated. CRI Marrakech-Safi. Source: Loi n°47-06; CRI Marrakech-Safi","Freehold (urban/commercial/tourist); agricultural land restricted"
"129","Morocco","MA","Oriental","Yes","Oujda Industrial Free Zone / Technopole (Oriental Region) — manufacturing and export. Source: WTO Trade Policy Review 2024; mkonsulting.ma 2024","VAT exempt on supplies to/between IAZs. Source: Finance Law 2020","0% CIT for 5 yrs; 15% thereafter. Source: PwC Morocco Tax Summary 2025","Taxe professionnelle 10–30% of assessed rental value. Oujda commercial; mid-range fees. CRI Oriental. Source: Loi n°47-06","Freehold (urban/commercial); agricultural land restricted"
"130","Morocco","MA","Rabat-Salé-Kénitra","Yes","Atlantic Free Zone (AFZ, Kénitra) — automotive/electronics; Technopolis (near Rabat) — ICT/services. Source: WTO Trade Policy Review 2024; mkonsulting.ma 2024","VAT exempt on supplies to/between IAZs. Source: Finance Law 2020; IAZ regulations","0% CIT for 5 yrs; 15% thereafter. Source: PwC Morocco Tax Summary 2025; Finance Law 2020","Taxe professionnelle 10–30% of assessed rental value. Capital region; high assessed values. CRI Rabat. Source: Loi n°47-06; CRI Rabat-Salé-Kénitra","Freehold (urban/commercial); capital region; strong title registration"
"131","Morocco","MA","Souss-Massa","Yes","Haliopolis IAZ (Agadir) — agri-industry and seafood processing. Source: WTO Trade Policy Review 2024; IAZ.ma","VAT exempt on supplies to/between IAZs. Source: Finance Law 2020","0% CIT for 5 yrs; 15% thereafter. Source: PwC Morocco Tax Summary 2025","Taxe professionnelle 10–30% of assessed rental value. Agadir tourism/agri; mid-to-high fees. CRI Souss-Massa. Source: Loi n°47-06; CRI Souss-Massa","Freehold (urban/commercial/tourist); agricultural land restricted"
"132","Morocco","MA","Tanger-Tétouan-Al Hoceïma","Yes","Tangier Free Zone (TFZ, est. 1999, 400 ha) — aeronautics, textiles, agri-food, logistics; Tanger Med port industrial zones; Mohammed VI Tanger Tech City. Source: WTO Trade Policy Review 2024; mkonsulting.ma 2024; US State Dept Morocco 2024","VAT exempt on supplies to/between IAZs. Source: Finance Law 2020; IAZ regulations","0% CIT for 5 yrs; 15% thereafter. Source: PwC Morocco Tax Summary 2025; Finance Law 2020","Taxe professionnelle 10–30% of assessed rental value. Tanger Med port zone — second highest assessed values in Morocco after Casablanca. CRI Tanger. Source: Loi n°47-06; CRI Tanger-Tétouan-Al Hoceïma","Freehold (urban/commercial/industrial); agricultural land restricted"
"133","Ethiopia","ET","Addis Ababa","Yes","Bole Lemi I & II Industrial Park/SEZ; Kilinto Industrial Park/SEZ — both IPDC; designated SEZ December 2024. Source: ENA Dec 2024; IPDC; Fana Broadcasting Dec 2024","Exempt from customs duties and VAT on inputs. Source: Ethiopian Investment Commission; IPDC","Income tax holiday during exemption period (0%). Source: Investment Incentives Council; IPDC; SEZ Proclamation 1322/2024","Trade licence issued by Addis Ababa Trade Bureau annually. Fee depends on business category and capital. Small-medium enterprise: ETB 500–5,000/yr. Manufacturing/large enterprise higher. Source: Ethiopia Trade Practice and Consumer Protection Proclamation No. 685/2010; Addis Ababa City Administration Trade Bureau","State ownership — leasehold only"
"134","Ethiopia","ET","Afar","Yes","Semera Industrial Park/SEZ (Afar Region) — IPDC; designated SEZ December 2024. Source: ENA Dec 2024; IPDC","Exempt from customs duties and VAT on inputs. Source: IPDC; SEZ Proclamation 1322/2024","Income tax holiday during exemption period. Source: IPDC; SEZ Proclamation 1322/2024","Regional trade/business licence via Afar Bureau of Trade. Estimated ETB 200–2,000/yr. Data sparse. Source: Ethiopia Trade Proclamation 685/2010; US State Dept 2024","State ownership — leasehold only"
"135","Ethiopia","ET","Amhara","Yes","Bahir Dar Industrial Park/SEZ; Kombolcha Industrial Park/SEZ — both IPDC; designated SEZ December 2024. Source: ENA Dec 2024; IPDC","Exempt from customs duties and VAT on inputs. Source: IPDC","Income tax holiday during exemption period. Source: IPDC; SEZ Proclamation 1322/2024","Regional trade licence via Amhara Bureau of Trade. Estimated ETB 200–3,000/yr depending on activity. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"136","Ethiopia","ET","Benishangul-Gumuz","No","No IPDC-designated industrial park or SEZ in Benishangul-Gumuz as of 2024. Source: IPDC; Ethiopian Investment Commission","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission; PwC Ethiopia","Regional trade licence. Smaller economy; lower fees. Estimated ETB 200–1,500/yr. Data sparse. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"137","Ethiopia","ET","Dire Dawa","Yes","Dire Dawa Special Economic Zone — Ethiopia's first dedicated SEZ; managed by IPDC. Source: IPDC; ENA Dec 2024","Exempt from customs duties and VAT on inputs. Source: IPDC; Ethiopian Investment Commission","Income tax holiday during exemption period. Source: IPDC; Ethiopian Investment Proclamation","Trade licence via Dire Dawa Administration Trade Bureau. Urban; mid-range fees. Estimated ETB 300–3,000/yr. Source: Ethiopia Trade Proclamation 685/2010; Dire Dawa City Administration","State ownership — leasehold only (urban)"
"138","Ethiopia","ET","Gambela","No","No IPDC-designated industrial park or SEZ in Gambela as of 2024. Source: IPDC; Ethiopian Investment Commission","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Very low commercial activity. Estimated ETB 200–1,000/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"139","Ethiopia","ET","Harari","No","No IPDC-designated industrial park or SEZ in Harari as of 2024. Source: IPDC; Ethiopian Investment Commission","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Small city-region. Estimated ETB 200–2,000/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only (urban)"
"140","Ethiopia","ET","Oromia","Yes","Kilinto Industrial Park/SEZ (straddles Addis Ababa/Oromia); Adama Industrial Park/SEZ; Jimma Industrial Park/SEZ; Debre Birhan Industrial Park/SEZ — all IPDC; designated SEZ December 2024. Source: ENA Dec 2024; IPDC; UNDP 2024","Exempt from customs duties and VAT on inputs. Source: IPDC; SEZ Proclamation 1322/2024","Income tax holiday during exemption period. Source: IPDC; SEZ Proclamation 1322/2024","Regional trade licence via Oromia Bureau of Trade. Largest region; variable by city. Estimated ETB 300–4,000/yr depending on location/sector. Source: Ethiopia Trade Proclamation 685/2010; Oromia Regional State","State ownership — leasehold only"
"141","Ethiopia","ET","Sidama","Yes","Hawassa Industrial Park/SEZ (Sidama Region) — IPDC flagship; designated SEZ December 2024. Textile & apparel focus. Source: ENA Dec 2024; IPDC; Brenthurst Foundation","Exempt from customs duties and VAT on inputs. Source: IPDC","Income tax holiday during exemption period. Source: IPDC; SEZ Proclamation 1322/2024","Regional trade licence. Hawassa is capital — growing commercial hub. Estimated ETB 300–3,000/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"142","Ethiopia","ET","Somali","No","No IPDC-designated industrial park or SEZ in Somali Region as of 2024. Source: IPDC; Ethiopian Investment Commission","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Remote; lower activity. Estimated ETB 200–1,500/yr. Data sparse. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"143","Ethiopia","ET","South Ethiopia","No","No IPDC-designated industrial park or SEZ in South Ethiopia as of 2024 (newly constituted region). Source: IPDC","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Newly constituted region. Data very sparse. Estimated ETB 200–1,500/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"144","Ethiopia","ET","South West Ethiopia","No","No IPDC-designated industrial park or SEZ in South West Ethiopia as of 2024 (newly constituted region). Source: IPDC","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Newly constituted region. Data very sparse. Estimated ETB 200–1,500/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"145","Ethiopia","ET","Tigray","Yes (disrupted)","Mekelle Industrial Park/SEZ — IPDC; designated SEZ December 2024. Operations severely disrupted by Tigray conflict; recovery phase. Source: ENA Dec 2024; IPDC; US State Dept 2024","Exempt in principle; operational disruption limits actual utilisation. Source: IPDC","Income tax holiday in principle; practical enforcement disrupted. Source: IPDC; US State Dept 2024","Regional trade licence. Post-conflict reconstruction phase; licensing infrastructure disrupted. Estimated ETB 200–2,000/yr where operating. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only; infrastructure disrupted post-conflict"
"146","Ethiopia","ET","Central Ethiopia","No","No IPDC-designated industrial park or SEZ in Central Ethiopia as of 2024 (newly constituted region). Source: IPDC","NA","N/A. Standard 30% CIT applies. Source: Ethiopian Investment Commission","Regional trade licence. Newly constituted region. Data very sparse. Estimated ETB 200–1,500/yr. Source: Ethiopia Trade Proclamation 685/2010","State ownership — leasehold only"
"147","Zambia","ZM","Central","Yes","Jiangxi MFEZ (Chibombo, Central Province) — ZDA; 2,088 ha; agribusiness and manufacturing. Source: ZDA; africaeconomiczones.com","Customs duty and VAT exemptions on inputs. Source: ZDA Act 11/2006; Zambia Revenue Authority","0% CIT for first 5 yrs; phased to standard 30% thereafter. Source: ZDA Act 11/2006; Bowmans Dec 2023","Business Regulatory Act (BRELA equivalent via PACRA). Annual Renewal Fee: ZMW 1,000–5,000/yr for SME. Additional local council levy varies. Source: PACRA (Patents and Companies Registration Agency); Zambia Development Agency; US State Dept 2025","Dual tenure: State Land (99-yr leasehold) / Customary land"
"148","Zambia","ZM","Copperbelt","Yes","Chambishi MFEZ (Chambishi) — ZDA/CNMC; 1,158 ha; mining/engineering. Also Mwanawasa Industrial Park (Copperbelt). Source: ZDA; World Bank 2016","Customs duty and VAT exemptions on inputs. Source: ZDA Act 11/2006","0% CIT for first 5 yrs; phased thereafter. Source: ZDA Act 11/2006; Bowmans Dec 2023","Annual business licence via PACRA + Copperbelt local councils. Mining-sector regulatory overlay. Estimated ZMW 1,500–8,000/yr for general commercial. Source: PACRA; Zambia Development Agency; US State Dept 2025","State Land dominant (urban/industrial); 99-yr leasehold"
"149","Zambia","ZM","Eastern","No","No MFEZ or Industrial Park in Eastern Province as of 2024. Farm Block development available for agribusiness. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: Zambia Revenue Authority; ZDA 2024","Annual business licence via PACRA + local council. Rural/agricultural economy. Estimated ZMW 500–3,000/yr. Source: PACRA; Zambia Development Agency","Mixed State Land (leasehold) and Customary land"
"150","Zambia","ZM","Luapula","No","No MFEZ or Industrial Park in Luapula Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Smaller economy. Estimated ZMW 500–2,500/yr. Source: PACRA","Mixed State Land and Customary"
"151","Zambia","ZM","Lusaka","Yes","Lusaka South MFEZ (LS-MFEZ; 2,100 ha) — government-owned, designated 2010; Lusaka East MFEZ (ZCCZ; 520 ha) — Chinese-developed. Source: ZDA; LSMFEZ.co.zm; World Bank 2016","Customs duty and VAT exemptions on inputs. Source: ZDA Act 11/2006; ZRA","0% CIT for first 5 yrs; 50% of profits taxable yrs 11–13; 75% yrs 14–15; standard 30% thereafter. Source: ZDA Act 11/2006; Bowmans Dec 2023","Annual business licence via PACRA + Lusaka City Council. Capital; highest fees. Estimated ZMW 2,000–10,000/yr for general commercial. Source: PACRA; Lusaka City Council; US State Dept 2025","State Land dominant (urban); 99-yr leasehold"
"152","Zambia","ZM","Muchinga","No","No MFEZ or Industrial Park in Muchinga Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Smaller economy. Estimated ZMW 500–2,000/yr. Source: PACRA","Mixed State Land and Customary"
"153","Zambia","ZM","North-Western","No","No MFEZ or Industrial Park in North-Western Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Mining region (copper/cobalt). Estimated ZMW 500–4,000/yr. Source: PACRA","Mixed State Land and Customary"
"154","Zambia","ZM","Northern","No","No MFEZ or Industrial Park in Northern Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Estimated ZMW 500–2,500/yr. Source: PACRA","Mixed State Land and Customary"
"155","Zambia","ZM","Southern","No","No MFEZ or Industrial Park in Southern Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Agricultural/tourism (Victoria Falls). Estimated ZMW 500–4,000/yr. Source: PACRA","Mixed State Land and Customary"
"156","Zambia","ZM","Western","No","No MFEZ or Industrial Park in Western Province as of 2024. Source: ZDA 2024","NA","N/A. Standard 30% CIT applies. Source: ZDA 2024","Annual business licence via PACRA + local council. Predominantly customary land zone. Estimated ZMW 500–2,000/yr. Source: PACRA","Predominantly Customary land (chief-administered)"
"157","Zimbabwe","ZW","Bulawayo","No","No designated SEZ in Bulawayo as of 2024. Standard investment regime via ZIDA. Source: ZIDA; Zimbabwe Revenue Authority 2024","NA","N/A. Standard 25% CIT applies. Source: ZIDA; Zimbabwe Revenue Authority 2024","Annual operating licence via Zimbabwe Investment and Development Agency (ZIDA) + Bulawayo City Council. Estimated USD 200–1,000/yr for general commercial (USD-denominated since 2019 dollarisation). Source: ZIDA; Zimbabwe Companies and Other Business Entities Act (COBE) 2019; US State Dept 2024","Freehold and leasehold (urban); agricultural land restricted"
"158","Zimbabwe","ZW","Harare","Yes","Sunway City SEZ (Harare) — licensed under ZIDA Act 2021/SEZ regulations; mixed commercial/industrial. Source: ZIDA; US State Dept Zimbabwe 2024","VAT and customs duty exemptions on qualifying inputs. Source: ZIDA Act 2021; Zimbabwe Revenue Authority","0% CIT for first 5 yrs; standard 25% thereafter. Source: ZIDA Act 2021; Zimbabwe Revenue Authority","Annual operating licence via ZIDA + Harare City Council. Capital city — highest fees. Estimated USD 300–2,000/yr. Source: ZIDA; COBE Act 2019; US State Dept 2024","Freehold and leasehold (urban); most active commercial market"
"159","Zimbabwe","ZW","Manicaland","No","No designated SEZ in Manicaland as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–500/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban/commercial), communal rural"
"160","Zimbabwe","ZW","Mashonaland Central","No","No designated SEZ in Mashonaland Central as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–400/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal and resettlement rural"
"161","Zimbabwe","ZW","Mashonaland East","No","No designated SEZ in Mashonaland East as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–400/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal rural"
"162","Zimbabwe","ZW","Mashonaland West","No","No designated SEZ in Mashonaland West as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–400/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal and resettlement land"
"163","Zimbabwe","ZW","Masvingo","No","No designated SEZ in Masvingo as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–400/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal rural"
"164","Zimbabwe","ZW","Matabeleland North","No","No designated SEZ in Matabeleland North as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Tourism area (Hwange). Estimated USD 100–500/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal rural"
"165","Zimbabwe","ZW","Matabeleland South","No","No designated SEZ in Matabeleland South as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Estimated USD 100–400/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban), communal rural"
"166","Zimbabwe","ZW","Midlands","No","No designated SEZ in Midlands as of 2024. Source: ZIDA 2024","NA","N/A. Standard 25% CIT applies. Source: Zimbabwe Revenue Authority 2024","Annual operating licence via ZIDA + local council. Mining/industrial (Gweru). Estimated USD 100–500/yr. Source: ZIDA; COBE Act 2019","Mixed: freehold (urban/mining), communal rural"
"167","Senegal","SN","Dakar","Yes","Dakar Integrated Special Economic Zone (DISEZ) — Diamniadio; established under Law 2007-16. Source: APIX; UNCTAD; US State Dept Senegal 2024","VAT exemption on goods/services destined for export; reduced customs duties. Source: Law 2007-16; Code des Investissements","15% CIT (reduced from standard 30%) for DISEZ-registered enterprises. Source: APIX; Deloitte Senegal 2024; Law 2007-16","Patente (professional licence tax) + registration at RCCM (commercial registry). Patente calculated on rental value of premises. Additionally: licence (alcohol, food service) and declaration at Centre de Formalités des Entreprises (CFCE). Dakar highest in Senegal: estimated XOF 100,000–500,000/yr for general commercial enterprise. Source: Code Général des Impôts du Sénégal (CGI); CFCE; World Bank Enterprise Survey Senegal 2023","State ownership of all land; private title (immatriculation) possible in urban areas"
"168","Senegal","SN","Diourbel","No","No SEZ or investment zone in Diourbel as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Smaller economy; lower fees. Estimated XOF 30,000–150,000/yr. Source: CGI Sénégal; CFCE","State ownership; rural land under customary use rights"
"169","Senegal","SN","Fatick","No","No SEZ or investment zone in Fatick as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Smaller economy. Estimated XOF 30,000–100,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"170","Senegal","SN","Kaffrine","No","No SEZ or investment zone in Kaffrine as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Smaller economy. Estimated XOF 20,000–80,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"171","Senegal","SN","Kaolack","No","No SEZ or investment zone in Kaolack as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Regional commercial hub. Estimated XOF 50,000–200,000/yr. Source: CGI Sénégal","State ownership; private title possible in urban areas"
"172","Senegal","SN","Kédougou","No","No SEZ or investment zone in Kédougou as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Small economy; mining region. Estimated XOF 20,000–100,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"173","Senegal","SN","Kolda","No","No SEZ or investment zone in Kolda as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Smaller economy. Estimated XOF 20,000–80,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"174","Senegal","SN","Louga","No","No SEZ or investment zone in Louga as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Estimated XOF 20,000–80,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"175","Senegal","SN","Matam","No","No SEZ or investment zone in Matam as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Remote northern region; lower activity. Estimated XOF 20,000–60,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"176","Senegal","SN","Saint-Louis","No","No SEZ or investment zone in Saint-Louis as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Regional hub; mid-range. Estimated XOF 50,000–200,000/yr. Source: CGI Sénégal","State ownership; private title possible in urban areas"
"177","Senegal","SN","Sédhiou","No","No SEZ or investment zone in Sédhiou as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Small economy. Estimated XOF 20,000–60,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"178","Senegal","SN","Tambacounda","No","No SEZ or investment zone in Tambacounda as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Estimated XOF 20,000–80,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"179","Senegal","SN","Thiès","No","No fully-designated SEZ in Thiès as of 2024. Investment zone status only under APIX platform. Source: APIX 2024","NA","N/A. Standard 30% CIT; investment zone tax incentives may apply. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Industrial zone near Dakar; second largest economy. Estimated XOF 50,000–250,000/yr. Source: CGI Sénégal; CFCE","State ownership; private title possible in urban areas"
"180","Senegal","SN","Ziguinchor","No","No SEZ or investment zone in Ziguinchor as of 2024. Source: APIX 2024","NA","N/A. Standard 30% CIT applies. Source: CGI Sénégal; APIX 2024","Patente + RCCM. Casamance regional hub; some instability historically. Estimated XOF 30,000–150,000/yr. Source: CGI Sénégal","State ownership; rural customary use rights"
"181","Algeria","DZ","Adrar","No","No designated SEZ in Adrar. Algeria operates general investment promotion via AAPI under Investment Law Loi n°22-18 (2022). Source: AAPI; US State Dept Algeria 2024","NA","N/A. Standard 19% IBS (Impôt sur les Bénéfices des Sociétés) applies. Source: Direction Générale des Impôts Algeria; KPMG Algeria 2024","Patente/licence professionnelle via Centre National du Registre du Commerce (CNRC). Fee calculated on business activity category and premises. Saharan/remote; lower assessed values. Estimated DZD 5,000–30,000/yr. Source: Code du Commerce Algérien; CNRC; Direction des Impôts de Wilaya","Private freehold possible; foreign purchase heavily restricted in practice"
"182","Algeria","DZ","Aïn Defla","No","No designated SEZ in Aïn Defla. Source: AAPI; US State Dept Algeria 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible; foreign purchase restricted"
"183","Algeria","DZ","Aïn Témouchent","No","No designated SEZ in Aïn Témouchent. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible; foreign purchase restricted"
"184","Algeria","DZ","Algiers","No","No designated SEZ in Algiers. Algeria does not operate an internationally standard SEZ framework. Investment zones under AAPI. Source: AAPI; US State Dept Algeria 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria; KPMG Algeria 2024","Patente via CNRC. Capital city — highest assessed values. Estimated DZD 30,000–200,000+/yr for mid-to-large enterprise. Source: CNRC; Direction Générale des Impôts Algeria; US State Dept 2024","Private freehold possible; foreign purchase requires approval"
"185","Algeria","DZ","Annaba","No","No designated SEZ in Annaba. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Industrial port city; mid-range. Estimated DZD 20,000–100,000/yr. Source: CNRC","Private freehold possible; foreign purchase requires approval"
"186","Algeria","DZ","Batna","No","No designated SEZ in Batna. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–60,000/yr. Source: CNRC","Private freehold possible; foreign purchase restricted"
"187","Algeria","DZ","Béchar","No","No designated SEZ in Béchar. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Desert/border region; lower activity. Estimated DZD 5,000–30,000/yr. Source: CNRC","Private freehold possible; desert/border strategic sensitivities"
"188","Algeria","DZ","Béjaïa","No","No designated SEZ in Béjaïa. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Industrial/port. Estimated DZD 15,000–80,000/yr. Source: CNRC","Private freehold possible; foreign purchase requires approval"
"189","Algeria","DZ","Biskra","No","No designated SEZ in Biskra. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Oasis/gateway city. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible; foreign purchase restricted"
"190","Algeria","DZ","Blida","No","No designated SEZ in Blida. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Near Algiers; mid-range. Estimated DZD 15,000–80,000/yr. Source: CNRC","Private freehold possible; foreign purchase requires approval"
"191","Algeria","DZ","Bordj Bou Arréridj","No","No designated SEZ in Bordj Bou Arréridj. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible"
"192","Algeria","DZ","Bouira","No","No designated SEZ in Bouira. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible"
"193","Algeria","DZ","Boumerdès","No","No designated SEZ in Boumerdès. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Coastal near Algiers. Estimated DZD 15,000–70,000/yr. Source: CNRC","Private freehold possible"
"194","Algeria","DZ","Chlef","No","No designated SEZ in Chlef. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible"
"195","Algeria","DZ","Constantine","No","No designated SEZ in Constantine. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Third largest city; mid-to-high. Estimated DZD 20,000–100,000/yr. Source: CNRC","Private freehold possible; foreign purchase requires approval"
"196","Algeria","DZ","Djelfa","No","No designated SEZ in Djelfa. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Estimated DZD 10,000–50,000/yr. Source: CNRC","Private freehold possible"
"197","Algeria","DZ","El Bayadh","No","No designated SEZ in El Bayadh. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Desert/steppe region. Estimated DZD 5,000–30,000/yr. Source: CNRC","Private freehold possible"
"198","Algeria","DZ","El Oued","No","No designated SEZ in El Oued. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Saharan border region. Estimated DZD 5,000–30,000/yr. Source: CNRC","Private freehold possible"
"199","Algeria","DZ","El Tarf","No","No designated SEZ in El Tarf. Source: AAPI 2024","NA","N/A. Standard 19% IBS. Source: Direction Générale des Impôts Algeria","Patente via CNRC. Border region. Estimated DZD 10,000–40,000/yr. Source: CNRC","Private freehold possible"
