,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
94,94,Egypt,EG,Alexandria,Yes,Alexandria Free Zone (Amrya) — GAFI public free zone. Source: GAFI; SIS Egypt,Goods/services in free zone deemed outside customs territory; customs duties and VAT exempt. Source: Investment Law 72/2017,20% on distributed profits (vs 22.5% standard). Source: GAFI; Investment Law 72/2017,"Commercial register + operating licence via GAFI or local industrial authority. Annual licence fee typically EGP 500–5,000 depending on sector and premises size; industrial licences higher. 5-yr exemption for new investments under Investment Law 72/2017. Source: Investment Law 72/2017; GAFI; EGP amounts per PwC Egypt 2024",Freehold available to foreigners (urban residential/commercial); agricultural land prohibited,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,High,Low–Medium,Low–Medium,Information unavailable,Medium,High,High,Medium,Information unavailable,Information unavailable,Medium (Arabic),High,High,High,Information unavailable,Medium–High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,High,High,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
95,95,Egypt,EG,Aswan,No,No GAFI public free zone in Aswan. Standard GAFI investment zones available. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT applies. Source: PwC Egypt Tax Summary 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr for general commercial. Tourism/industrial higher. Source: Investment Law 72/2017; GAFI",Freehold available (urban); some strategic restrictions near Sudanese border,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
96,96,Egypt,EG,Asyut,No,No GAFI public free zone in Asyut. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT applies. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017; GAFI",Freehold available (urban/commercial),0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
97,97,Egypt,EG,Al Beheira,No,No GAFI public free zone in Beheira. QIZ (Qualifying Industrial Zone) covers Beheira. Source: GAFI; US State Dept Egypt 2023,"N/A (QIZ offers US market access preference, not VAT exemption)",N/A. Standard 22.5% CIT. Source: EY Egypt Tax Guide 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr. Delta agricultural land restricted. Source: Investment Law 72/2017",Freehold available (urban/commercial); Delta agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
98,98,Egypt,EG,Beni Suef,No,No GAFI public free zone in Beni Suef. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017",Freehold available (urban/commercial),0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
99,99,Egypt,EG,Cairo,Yes,Cairo Free Zone (Nasr City) — GAFI public free zone; Media Free Zone (6th October). Source: GAFI; SIS Egypt,Customs and VAT exempt within zone. Source: Investment Law 72/2017,20% on distributed profits. Source: GAFI; Investment Law 72/2017,"Commercial register + operating licence. Cairo highest fees due to urban complexity. Estimated EGP 1,000–10,000+/yr depending on sector. Source: Investment Law 72/2017; GAFI; PwC Egypt 2024",Freehold available; most active foreign property market,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium–High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,High,Low–Medium,Medium,Information unavailable,Medium,High,Very High,Medium–High,Information unavailable,Information unavailable,Medium (Arabic),Very High,Very High,Very High,Information unavailable,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Low,Very High,High,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
100,100,Egypt,EG,Al Daqahlia,No,No GAFI public free zone in Dakahlia. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017",Freehold available (urban); Delta agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
101,101,Egypt,EG,Damietta,Yes,Damietta Free Zone — GAFI public free zone. Source: GAFI; SIS Egypt,Customs and VAT exempt within zone. Source: Investment Law 72/2017,20% on distributed profits. Source: GAFI; Investment Law 72/2017,"Commercial register + local operating licence. Coastal/industrial. Estimated EGP 500–4,000/yr. Source: Investment Law 72/2017",Freehold available (urban/commercial),0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium–High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
102,102,Egypt,EG,Al Fayoum,No,No GAFI public free zone in Faiyum. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–2,500/yr. Source: Investment Law 72/2017",Freehold available (urban); agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
103,103,Egypt,EG,Al Gharbia,No,No GAFI public free zone in Gharbia. QIZ covers Gharbia. Source: GAFI; US State Dept Egypt 2023,"N/A (QIZ offers US market access preference, not VAT exemption)",N/A. Standard 22.5% CIT. Source: EY Egypt Tax Guide 2024,"Commercial register + local operating licence. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017",Freehold available (urban); Delta agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
104,104,Egypt,EG,Giza,Yes,Media Free Zone (6th October City) — GAFI public free zone. QIZ also covers Giza. Source: GAFI; SIS Egypt,Customs and VAT exempt within free zone. Source: Investment Law 72/2017,20% on distributed profits. Source: GAFI; Investment Law 72/2017,"Commercial register + operating licence. Active investment area; fees similar to Cairo. Estimated EGP 1,000–8,000/yr. Source: Investment Law 72/2017; GAFI",Freehold available; active investment area,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
105,105,Egypt,EG,Ismailia,Yes,Ismailia Free Zone — GAFI public free zone; East Ismailia zone (SCZone). Source: GAFI; Al Tamimi 2020,Customs and VAT exempt within zone. Source: Investment Law 72/2017; SCZone Law 330/2015,SCZone: 10% unified income tax. GAFI zone: 20% on distributed profits. Source: GAFI; Al Tamimi 2020,"Commercial register + local operating licence. Suez Canal Zone — some SEZ-modified licensing rules. Estimated EGP 500–4,000/yr. Source: Investment Law 72/2017; Suez Canal Authority",Freehold available (urban/commercial); SEZ rules overlay,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
106,106,Egypt,EG,Kafr Al Sheikh,No,No GAFI public free zone in Kafr el-Sheikh. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–2,500/yr. Source: Investment Law 72/2017",Freehold available (urban); Delta agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
107,107,Egypt,EG,Luxor,No,No GAFI public free zone in Luxor. Tourism investment zones under GAFI. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + tourism licensing via Ministry of Tourism. Estimated EGP 500–5,000/yr. Source: Investment Law 72/2017; GAFI",Freehold available; tourism investment zone,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
108,108,Egypt,EG,Matruh,No,No GAFI public free zone in Matruh. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Coastal; some strategic restrictions. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017",Freehold available (urban/coastal); border area strategic restrictions possible,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
109,109,Egypt,EG,Minya,No,No GAFI public free zone in Minya. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–2,500/yr. Source: Investment Law 72/2017",Freehold available (urban); agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low–Medium,High,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
110,110,Egypt,EG,Al Menofia,No,No GAFI public free zone in Monufia. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Estimated EGP 500–2,500/yr. Source: Investment Law 72/2017",Freehold available (urban); Delta agricultural land restricted,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
111,111,Egypt,EG,New Valley,No,No GAFI public free zone in New Valley. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Desert development zone. Estimated EGP 300–2,000/yr. Source: Investment Law 72/2017",Freehold available (urban); desert development zone,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
112,112,Egypt,EG,North Sinai,No,No GAFI public free zone in North Sinai. Additional security clearances apply. Source: GAFI; Decree-Law No. 14/2012,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Strategic zone — additional security clearances may apply. Estimated EGP 500–3,000/yr. Source: Investment Law 72/2017; Decree-Law No. 14/2012",Leasehold/usufruct only for foreigners; classified as strategic border region,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
113,113,Egypt,EG,Port Said,Yes,Port Said Free Zone — GAFI public free zone; East Port Said (SCZone). Source: GAFI; SCZone; Al Tamimi 2020,Customs and VAT exempt within zone. Source: Investment Law 72/2017; SCZone Law 330/2015,GAFI zone: 20% on distributed profits. SCZone: reduced rates per SCZone Authority. Source: Al Tamimi 2020; GAFI,"Free trade zone — simplified licensing for zone-registered enterprises. General commercial outside zone: EGP 500–4,000/yr. Source: Investment Law 72/2017; General Authority for Investment",Freehold available; free trade zone with favourable investment rules,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Low,Medium,Information unavailable,Medium,Medium,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
114,114,Egypt,EG,Al Qalyubia,No,No GAFI public free zone in Qalyubia. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + local operating licence. Near Cairo. Estimated EGP 500–4,000/yr. Source: Investment Law 72/2017",Freehold available (urban),0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium,Low,High,Information unavailable,Medium,Low,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Low,Low,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Low,Low–Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
115,115,Egypt,EG,Qena,Yes,Qeft Free Zone — GAFI public free zone. Source: GAFI; SIS Egypt,Customs and VAT exempt within zone. Source: Investment Law 72/2017,20% on distributed profits. Source: GAFI,"Commercial register + local operating licence. Estimated EGP 500–2,500/yr. Source: Investment Law 72/2017",Freehold available (urban/tourism),0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium,Low,High,Information unavailable,Medium,Low,High,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Low,Low,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Low,Low–Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
116,116,Egypt,EG,Red Sea,No,No GAFI public free zone in Red Sea governorate. SEZONE (Ain Sokhna) is in Suez governorate. Source: GAFI 2024,Information unavailable,N/A. Standard 22.5% CIT. Source: PwC Egypt 2024,"Commercial register + tourism/industrial licence. Hurghada/Gouna active. Estimated EGP 500–6,000/yr. Source: Investment Law 72/2017; GAFI",Freehold available; popular with foreign investors,0.225,Information unavailable,10–15%,Information unavailable,Medium,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium,Medium–High,Very Low,Low,Information unavailable,Medium,Low,Medium,Low–Medium,Information unavailable,Information unavailable,Medium (Arabic),Medium,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,High,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable
